Ticker;MarketCap;ActualPrice;TargetMeanPrice;TargetMeanPricePct;FinancialCurrency;OperatingIncome_TTM;EnterpriseValue;OperatingIncome_EV_Ratio;Eight_Year_ROA;Eight_Year_ROC;FCF_Sum_to_Assets;Eight_Year_Gross_Margin_Growth;Margin_Stability;Years_Data_Available;Current_ROA;FS_ROA;Current_FCFTA;FS_FCFTA;ACCRUAL;FS_ACCRUAL;LEVER;FS_LEVER;LIQUID;FS_LIQUID;ROA_Change;FS_ROA_Change;FCFTA_Change;FS_FCFTA_Change;MARGIN;FS_MARGIN;TURN;FS_TURN;OperatingIncome_EV_Ratio_Percentile;Eight_Year_ROA_Percentile;Eight_Year_ROC_Percentile;FCF_Sum_to_Assets_Percentile;Eight_Year_Gross_Margin_Growth_Percentile;Margin_Stability_Percentile;Current_ROA_Percentile;Current_FCFTA_Percentile;ACCRUAL_Percentile;LEVER_Percentile;LIQUID_Percentile;ROA_Change_Percentile;FCFTA_Change_Percentile;MARGIN_Percentile;TURN_Percentile;Max_Margin_Metric_Percentile;Max_Margin_Source;Franchise_Power_Percentile;Financial_Strength_Score;P_FS;QUALITY
BP;75558273024;28.87;33.81176;0.171172844;USD;12219000000;5.13E+11;2%;2%;19%;25%;3%;4.291955306;5;0%;1;4%;1;4%;1;-2%;0;4%;1;-5%;0;-2%;0;-7%;0;-8%;0;25%;29%;44%;54%;81%;14%;16%;36%;77%;22%;70%;11%;19%;6%;13%;81%;Growth;52%;4;44%;48%
MU;1.04E+11;92.84;123.34697;0.328597264;USD;6130000000;1.13E+11;5%;3%;6%;-1%;-16%;0.998913925;5;1%;1;0%;1;-1%;0;2%;1;-182%;0;10%;1;10%;1;31%;1;12%;1;61%;37%;20%;15%;4%;3%;24%;18%;37%;78%;2%;94%;95%;99%;95%;4%;Growth;19%;7;78%;48%
NUE;25323769856;109.745;146.73582;0.337061552;USD;2125000000;30406772736;7%;17%;37%;54%;-24%;3.00757906;5;6%;1;2%;1;-4%;0;2%;1;-106%;0;-7%;0;-11%;0;-9%;0;-8%;0;78%;91%;66%;84%;1%;11%;51%;26%;15%;74%;6%;8%;4%;3%;13%;11%;Stability;63%;3;33%;48%
TWLO;17358270464;113.695;128.79713;0.132830204;USD;26151000;16344751104;0%;-7%;-13%;5%;1%;32.33235312;4;-1%;0;7%;1;8%;1;-2%;0;-244%;0;8%;1;4%;1;2%;1;9%;1;15%;9%;8%;22%;68%;69%;16%;51%;85%;27%;2%;91%;81%;73%;92%;69%;Stability;27%;6;67%;47%
CVX;2.34E+11;135.215;162.4641;0.201524239;USD;17262000000;2.62E+11;7%;9%;16%;36%;0%;29.12740126;4;7%;1;6%;1;-1%;0;0%;0;-21%;0;-1%;0;-2%;0;-1%;0;0%;1;74%;68%;36%;69%;47%;65%;55%;48%;36%;42%;24%;31%;22%;20%;43%;65%;Stability;59%;3;33%;46%
JOYY;2261285888;43.72;52.37273;0.197912397;USD;47667000;43559579648;0%;1%;3%;9%;4%;18.36223256;5;-2%;0;3%;1;5%;1;;0;-36%;0;-6%;0;0%;1;0%;1;3%;1;14%;20%;15%;29%;84%;49%;15%;30%;80%;;16%;11%;51%;39%;68%;84%;Growth;37%;5;56%;46%
HL;3229234176;5.105;7;0.371204701;USD;206878000;3686087680;6%;0%;3%;-3%;-8%;3.791166898;5;1%;1;0%;1;-1%;0;5%;1;-57%;0;4%;1;5%;1;6%;1;7%;1;62%;17%;15%;13%;10%;13%;24%;17%;35%;89%;9%;84%;88%;90%;89%;13%;Stability;14%;7;78%;46%
F;41077362688;10.3299;10.3113;-0.001800598;USD;4313000000;1.72E+11;3%;2%;7%;8%;-11%;6.113480026;5;2%;1;2%;1;0%;1;0%;1;-3%;0;0%;1;0%;0;-1%;0;0%;1;26%;32%;23%;26%;5%;19%;30%;26%;51%;46%;53%;57%;44%;24%;49%;19%;Stability;25%;6;67%;46%
PCAR;48970801152;93.285;100.97474;0.08243276;USD;4355500000;57127321600;8%;9%;17%;18%;3%;11.44764234;5;10%;1;7%;1;-3%;0;-2%;0;14%;1;-2%;0;-1%;0;-2%;0;-9%;0;80%;69%;40%;42%;80%;35%;70%;52%;18%;26%;82%;26%;38%;18%;12%;80%;Growth;58%;3;33%;46%
CVS;75673501696;59.82;79.2864;0.325416249;USD;10898000000;1.45E+11;8%;3%;69%;18%;-8%;8.860352542;5;2%;1;2%;1;1%;1;0%;0;-5%;0;-2%;0;-2%;0;-1%;0;4%;1;79%;33%;84%;41%;8%;26%;26%;27%;52%;35%;50%;29%;23%;20%;74%;26%;Stability;46%;4;44%;45%
PATH;6576189952;12.295;12.12944;-0.013465636;USD;-162569000;5253721600;-3%;-10%;-17%;17%;1%;51.23693638;5;-3%;0;11%;1;13%;1;;0;-70%;0;0%;1;1%;1;-2%;0;6%;1;8%;8%;7%;40%;57%;80%;14%;71%;93%;;7%;57%;56%;15%;82%;80%;Stability;34%;5;56%;45%
HSBC;2.09E+11;59.275;65.66;0.107718262;USD;;6.78E+11;;1%;;7%;;;5;1%;1;2%;1;1%;1;;0;;0;0%;1;1%;1;;0;0%;1;;21%;;24%;;;20%;23%;60%;;;47%;57%;;45%;;Neither;23%;6;67%;45%
VRTX;1.12E+11;434.86;500.1232;0.150078646;USD;4209900000;1.07E+11;4%;12%;38%;38%;-1%;98.37997605;5;-2%;0;-4%;0;-2%;0;;0;-130%;0;-18%;0;-19%;0;-1%;0;5%;1;43%;80%;68%;71%;36%;93%;14%;9%;26%;;4%;2%;2%;22%;81%;93%;Stability;78%;1;11%;45%
XOM;4.43E+11;102.72;123.64538;0.203712812;USD;39557000000;4.71E+11;8%;10%;17%;35%;-1%;16.2984944;5;7%;1;7%;1;-1%;0;2%;1;-17%;0;-2%;0;-2%;0;-3%;0;-14%;0;85%;72%;39%;67%;31%;45%;61%;52%;41%;70%;30%;23%;19%;13%;4%;45%;Stability;56%;3;33%;45%
HUT;1712334592;16.43;25.3;0.539866099;USD;52484000;2054259072;3%;-11%;39%;-29%;14%;3.707500439;3;22%;1;-22%;0;-44%;0;63%;1;-21%;0;56%;1;-5%;0;37%;1;-1%;0;27%;7%;68%;8%;94%;12%;95%;5%;1%;100%;26%;100%;9%;100%;34%;94%;Growth;44%;4;44%;44%
TTE;1.30E+11;57.855;67.72889;0.170666148;USD;23076000000;1.62E+11;14%;6%;22%;31%;0%;23.10155121;5;6%;1;6%;1;0%;1;-1%;0;-2%;0;-2%;0;-3%;0;0%;0;-9%;0;98%;56%;46%;62%;47%;56%;49%;47%;49%;32%;56%;23%;16%;34%;11%;56%;Stability;55%;3;33%;44%
GLOB;4387308032;99.59;154.09174;0.547261171;USD;233816000;4995677184;5%;6%;33%;17%;-2%;31.41239092;5;5%;1;4%;1;-1%;0;-9%;0;15%;1;-1%;0;-3%;0;0%;0;-1%;0;52%;51%;61%;39%;26%;68%;47%;37%;37%;5%;83%;35%;15%;30%;37%;68%;Stability;55%;3;33%;44%
AGRO;950835328;9.509;11.9;0.251445999;USD;186825000;2025856000;9%;5%;10%;17%;-13%;5.59985949;5;3%;1;2%;1;-1%;0;0%;1;40%;1;-4%;0;-4%;0;-3%;0;8%;1;88%;45%;27%;40%;5%;18%;34%;23%;37%;48%;95%;13%;11%;11%;90%;18%;Stability;32%;5;56%;44%
LMT;1.09E+11;467.3;524.22955;0.121826557;USD;7356000000;1.29E+11;6%;12%;66%;46%;-10%;7.446097806;5;10%;1;10%;1;0%;0;-2%;0;-9%;0;-4%;0;-2%;0;-3%;0;-1%;0;63%;79%;82%;77%;6%;23%;71%;68%;47%;21%;44%;16%;16%;12%;35%;23%;Stability;65%;2;22%;44%
SNAP;13787235328;8.25;9.7073;0.176642424;USD;-647908000;15091994624;-4%;-13%;-23%;7%;-2%;17.81825027;4;-9%;0;3%;1;12%;1;2%;1;-44%;0;8%;1;2%;1;0%;0;10%;1;7%;6%;6%;24%;26%;47%;7%;28%;91%;69%;13%;91%;73%;31%;92%;47%;Stability;21%;6;67%;44%
UBER;1.84E+11;88.135;95.8102;0.087084586;USD;3855000000;1.90E+11;2%;-3%;;19%;-5%;11.12711948;5;19%;1;13%;1;-6%;0;8%;1;-13%;0;14%;1;5%;1;0%;0;-11%;0;23%;14%;;43%;14%;34%;93%;79%;11%;96%;36%;97%;87%;29%;9%;34%;Stability;30%;5;56%;43%
CCL;30084667392;22.205;27.73167;0.248893042;USD;3840000000;57951567872;7%;-7%;-4%;-25%;;-0.202220397;5;4%;1;3%;1;-1%;0;5%;1;-17%;0;4%;1;1%;1;4%;1;7%;1;75%;9%;12%;9%;;1%;39%;27%;32%;91%;31%;84%;53%;87%;88%;1%;Stability;8%;7;78%;43%
MRVL;51916238848;60.1;97.39886;0.620613311;USD;-366400000;56963084288;-1%;-3%;-10%;20%;-4%;10.36243028;5;-4%;0;7%;1;11%;1;0%;0;-15%;0;0%;1;2%;1;0%;0;3%;1;13%;14%;11%;46%;20%;32%;12%;53%;90%;36%;34%;47%;69%;29%;64%;32%;Stability;26%;5;56%;41%
USB;66738212864;42.835;49.65217;0.159149527;USD;;1.02E+11;;1%;;7%;;;5;1%;1;2%;1;1%;1;-1%;0;;0;0%;1;0%;1;;0;0%;0;;25%;;25%;;;22%;22%;53%;33%;;50%;50%;;39%;;Neither;25%;5;56%;40%
SNOW;66731597824;200;221.2931;0.1064655;USD;-1456010000;66373181440;-2%;-11%;-34%;24%;2%;27.68127428;4;-14%;0;10%;1;24%;1;;0;-7%;0;-4%;0;1%;1;-1%;0;6%;1;9%;8%;4%;52%;75%;62%;5%;69%;97%;;45%;15%;54%;19%;83%;75%;Growth;35%;4;44%;40%
SCHW;1.59E+11;87.35;91.31579;0.045401145;USD;;1.46E+11;;1%;;5%;;;5;1%;1;0%;1;-1%;0;1%;1;;0;0%;1;-3%;0;;0;0%;1;;26%;;20%;;;25%;20%;38%;57%;;52%;11%;;47%;;Neither;23%;5;56%;39%
TSLA;1.09E+12;339.21;299.37952;-0.117421302;USD;7082000000;1.08E+12;1%;11%;17%;16%;-11%;5.096015938;5;6%;1;3%;1;-3%;0;-2%;0;30%;1;-8%;0;-1%;0;0%;0;-11%;0;17%;77%;37%;37%;6%;17%;50%;29%;18%;23%;92%;7%;27%;27%;8%;17%;Stability;42%;3;33%;38%
MRNA;9931535360;25.68;47.69565;0.857307243;USD;-3729000000;5103741440;-73%;2%;12%;71%;-14%;2.558924091;5;-25%;0;-29%;0;-3%;0;;0;25%;1;0%;1;-8%;0;24%;1;-14%;0;2%;32%;30%;94%;4%;9%;4%;4%;15%;;88%;55%;5%;99%;5%;9%;Stability;41%;3;33%;37%
LAC;618851840;2.8151;4.78462;0.699627011;USD;-29031000;429173408;-7%;46%;;-50%;;;5;-4%;0;-18%;0;-14%;0;;0;196%;1;-3%;0;34%;1;;0;0%;0;6%;100%;;5%;;;12%;5%;4%;;98%;20%;100%;;41%;;Neither;52%;2;22%;37%
JMIA;393718528;3.215;3.7544;0.16777605;USD;-74603000;702024896;-11%;-56%;-82%;-295%;-1%;43.03861334;4;-52%;0;-32%;0;20%;1;;0;33%;1;3%;1;8%;1;2%;1;-11%;0;4%;0%;1%;1%;37%;74%;2%;3%;95%;;94%;79%;94%;75%;7%;74%;Stability;19%;5;56%;37%
XRX;553476032;4.4;9.13667;1.076515909;USD;168000000;4044042496;4%;-6%;18%;21%;-3%;28.383779;5;-16%;0;6%;1;21%;1;-7%;0;-2%;0;-16%;0;-1%;0;-2%;0;6%;1;44%;11%;42%;47%;23%;64%;5%;46%;96%;7%;57%;3%;31%;16%;81%;64%;Stability;41%;3;33%;37%
AIG;47129387008;81.775;89.24824;0.091387832;USD;;44059607040;;1%;;12%;;;5;-1%;0;2%;1;3%;1;-4%;0;;0;-2%;0;1%;1;;0;12%;1;;23%;;33%;;;16%;22%;73%;13%;;29%;57%;;94%;;Neither;28%;4;44%;36%
FMCC;4927455232;7.58;3.25;-0.571240106;USD;;3.26E+12;;0%;;1%;;;5;0%;1;0%;1;0%;0;0%;1;;0;0%;1;0%;0;;0;0%;1;;18%;;16%;;;18%;19%;45%;54%;;47%;44%;;45%;;Neither;17%;5;56%;36%
BRK-B;1.09E+12;503.19;525;0.043343469;USD;;-2.19E+11;;6%;;8%;;;5;8%;1;1%;1;-7%;0;1%;1;;0;-1%;0;-2%;0;;0;-4%;0;;52%;;26%;;;63%;21%;10%;63%;;31%;22%;;21%;;Neither;39%;3;33%;36%
GM;46850727936;48.73;53.93185;0.10674841;USD;12400000000;1.65E+11;8%;3%;12%;-8%;-4%;10.06081855;5;2%;1;-2%;0;-4%;0;-2%;0;5%;1;-2%;0;-1%;0;1%;1;4%;1;80%;37%;30%;11%;20%;30%;30%;11%;13%;24%;72%;28%;33%;65%;75%;30%;Stability;27%;4;44%;36%
VIST;5279220736;49.62;69.38078;0.398242241;USD;635581000;5884388352;11%;11%;25%;5%;7%;8.483812052;5;11%;1;-2%;0;-14%;0;-12%;0;-19%;0;-4%;0;-3%;0;-1%;0;-6%;0;93%;75%;50%;19%;90%;25%;76%;10%;5%;3%;28%;15%;13%;22%;17%;90%;Growth;59%;1;11%;35%
ARCO;1531520128;7.27;10.92778;0.503133425;USD;302111000;3281689088;9%;5%;15%;8%;2%;18.32687984;5;5%;1;-2%;0;-7%;0;-1%;0;-11%;0;-1%;0;-3%;0;-1%;0;11%;1;87%;44%;34%;26%;76%;48%;47%;11%;10%;31%;39%;33%;14%;25%;94%;76%;Growth;45%;2;22%;34%
GT;3127019264;10.945;13.45714;0.229523984;USD;884000000;11469877248;8%;0%;9%;-5%;-3%;10.813947;4;0%;1;-2%;0;-3%;0;1%;1;-3%;0;4%;1;-2%;0;2%;1;-3%;0;81%;19%;26%;13%;22%;33%;17%;11%;20%;64%;54%;79%;17%;79%;26%;33%;Stability;22%;4;44%;33%
JPM;7.24E+11;260.43;267.01477;0.025284222;USD;;3.42E+11;;1%;;4%;;;5;1%;1;-1%;0;-3%;0;0%;1;;0;0%;1;-1%;0;;0;0%;1;;26%;;18%;;;26%;13%;21%;53%;;51%;24%;;47%;;Neither;22%;4;44%;33%
UPST;4258685440;44.76;59.29167;0.324657507;USD;;5192806912;;-4%;;-20%;;;5;-5%;0;7%;1;13%;1;-19%;0;;0;6%;1;14%;1;;0;1%;1;;12%;;9%;;;11%;58%;92%;1%;;89%;97%;;58%;;Neither;11%;5;56%;33%
SATL;376878176;3.62;;;USD;-44679000;471921536;-9%;-41%;-57%;-390%;3%;7.765764983;5;-188%;0;-66%;0;122%;1;;0;-44%;0;-109%;0;18%;1;11%;1;8%;1;5%;2%;3%;0%;79%;23%;0%;1%;100%;;13%;1%;99%;94%;90%;79%;Growth;21%;4;44%;33%
BK;63687929856;89.02;92.07143;0.034278027;USD;;-28922570752;;1%;;5%;;;5;1%;1;0%;0;-1%;0;0%;1;;0;0%;1;-1%;0;;0;0%;1;;22%;;20%;;;23%;17%;32%;50%;;53%;25%;;46%;;Neither;21%;4;44%;33%
WFC;2.37E+11;72.8146;78.25;0.074647117;USD;;2.06E+11;;1%;;3%;;;5;1%;1;0%;1;-1%;0;2%;1;;0;0%;1;-2%;0;;0;0%;0;;24%;;17%;;;23%;18%;38%;70%;;48%;21%;;40%;;Neither;21%;4;44%;32%
TEN;529040640;17.56;29;0.651480638;USD;229896000;1992461312;12%;4%;6%;-8%;405%;1.483853838;5;5%;1;-9%;0;-14%;0;4%;1;-47%;0;-4%;0;-12%;0;-7%;0;-5%;0;95%;37%;22%;11%;99%;4%;44%;7%;4%;86%;11%;14%;3%;5%;19%;99%;Growth;43%;2;22%;32%
SDA;296870880;2.81;12.5;3.448398577;USD;;372789504;;-15%;-54%;-28%;-8%;4.660593657;7;-28%;0;5%;1;32%;1;;0;-16%;0;-16%;0;19%;1;0%;1;16%;1;;5%;4%;8%;9%;15%;3%;38%;99%;;33%;3%;100%;39%;98%;15%;Stability;8%;5;56%;32%
GS;1.84E+11;598.66;585.579;-0.021850466;USD;;-1.01E+11;;1%;;-1%;;;5;1%;1;-1%;0;-2%;0;0%;1;;0;0%;1;0%;0;;0;0%;1;;24%;;14%;;;22%;14%;27%;48%;;53%;45%;;48%;;Neither;19%;4;44%;32%
C;1.36E+11;73.059;84.19048;0.152362885;USD;;-12845992960;;1%;;-2%;;;5;1%;1;-1%;0;-2%;0;0%;0;;0;0%;1;2%;1;;0;0%;1;;21%;;14%;;;19%;13%;29%;37%;;50%;71%;;47%;;Neither;17%;4;44%;31%
MUX;426016928;7.891;14.3125;0.813775187;USD;-6940000;462326432;-2%;-6%;-28%;-32%;;0.563833312;5;-7%;0;-2%;0;5%;1;0%;1;-89%;0;-15%;0;8%;1;7%;1;1%;1;11%;10%;5%;7%;;2%;9%;12%;79%;44%;7%;4%;94%;92%;53%;2%;Stability;6%;5;56%;31%
MOS;11055500288;34.85;37.3481;0.071681492;USD;787100000;15816250368;5%;7%;16%;20%;-19%;2.73321076;5;1%;1;0%;1;-1%;0;-1%;0;-15%;0;-4%;0;-4%;0;-3%;0;-11%;0;55%;58%;36%;46%;2%;11%;20%;19%;42%;34%;34%;13%;10%;13%;7%;11%;Stability;38%;2;22%;30%
AAP;2816493568;47.0725;44.85;-0.047214403;USD;-713306000;4939365888;-14%;1%;3%;10%;-6%;11.02060203;5;-3%;0;-1%;0;2%;1;-2%;0;12%;1;-3%;0;-1%;0;-4%;0;9%;1;3%;26%;14%;31%;12%;34%;13%;14%;69%;23%;80%;17%;24%;8%;91%;34%;Stability;26%;3;33%;30%
DOW;19834548224;28.06;35.95368;0.281314326;USD;1384000000;37228724224;4%;5%;14%;22%;-18%;3.360686599;5;2%;1;0%;0;-2%;0;-2%;0;-16%;0;1%;1;-5%;0;0%;0;-2%;0;41%;47%;32%;47%;3%;12%;29%;16%;25%;26%;32%;62%;8%;32%;30%;12%;Stability;35%;2;22%;28%
WBA;9654799360;11.165;12.2925;0.100985222;USD;-2820000000;39838654464;-7%;-2%;-7%;8%;-5%;12.62049779;5;-11%;0;0%;0;10%;1;-1%;0;5%;1;-7%;0;-1%;0;-2%;0;38%;1;5%;16%;11%;25%;14%;38%;6%;15%;89%;28%;71%;8%;35%;18%;100%;38%;Stability;22%;3;33%;28%
AI;3002556416;22.62;30.21286;0.335670203;USD;-317766000;2297314048;-14%;-19%;-25%;-39%;-9%;8.183107699;4;-27%;0;-9%;0;18%;1;;0;230%;1;-3%;0;8%;1;-10%;0;6%;1;3%;4%;5%;5%;7%;24%;4%;8%;95%;;99%;21%;95%;2%;82%;24%;Stability;9%;4;44%;27%
BAC;3.25E+11;43.21;49.06522;0.135506133;USD;;3.14E+11;;1%;;1%;;;5;1%;1;0%;0;-1%;0;1%;1;;0;0%;0;-2%;0;;0;0%;1;;23%;;15%;;;21%;16%;34%;62%;;46%;23%;;44%;;Neither;19%;3;33%;26%
X;10399425536;45.93;42.79143;-0.068333769;USD;-123000000;13442380800;-1%;10%;18%;15%;-29%;2.154832583;5;2%;1;-7%;0;-9%;0;0%;0;-21%;0;-2%;0;-4%;0;-2%;0;-11%;0;12%;74%;41%;37%;1%;8%;28%;9%;8%;39%;25%;22%;9%;14%;6%;8%;Stability;40%;1;11%;26%
FNMA;11905164288;10.28;2.5;-0.756809339;USD;;4.29E+12;;0%;;2%;;;5;0%;1;0%;0;-1%;0;0%;1;;0;0%;0;-1%;0;;0;0%;1;;19%;;16%;;;19%;16%;42%;50%;;45%;37%;;43%;;Neither;18%;3;33%;25%
CAR;4206171648;119.52;116.75;-0.023176037;USD;-229000000;30037886976;-1%;4%;11%;-106%;-6%;11.44954909;5;-6%;0;-23%;0;-16%;0;-6%;0;-6%;0;-11%;0;13%;1;-8%;0;1%;1;12%;38%;29%;3%;13%;36%;9%;4%;3%;8%;47%;5%;96%;4%;54%;36%;Stability;27%;2;22%;24%
LAR;296276992;1.83;4.64;1.535519126;USD;-33595000;497948992;-7%;17%;-12%;-19%;;;5;-1%;0;-2%;0;-1%;0;;0;-13%;0;-123%;0;4%;1;;0;0%;0;6%;92%;9%;10%;;;15%;12%;39%;;35%;0%;83%;;41%;;Neither;37%;1;11%;24%
MSTR;1.04E+11;375.24;530.2857;0.413190758;USD;-66454000;1.19E+11;0%;-23%;32%;-104%;-4%;18.50608234;5;-5%;0;-86%;0;-81%;0;18%;1;-12%;0;-14%;0;-46%;0;-6%;0;-9%;0;14%;4%;60%;3%;17%;49%;11%;0%;0%;99%;38%;5%;0%;7%;11%;49%;Stability;29%;1;11%;20%
INTC;87349043200;20.025;21.39;0.068164794;USD;-4132000000;1.25E+11;-3%;2%;5%;-15%;-16%;4.497595082;5;-10%;0;-8%;0;2%;1;1%;1;-22%;0;-10%;0;-1%;0;-7%;0;-1%;0;8%;28%;19%;10%;3%;14%;7%;8%;62%;63%;23%;6%;37%;4%;34%;14%;Stability;18%;2;22%;20%
RIOT;3099408128;8.6754;15.4;0.775134288;USD;-354485000;3577802752;-10%;-12%;-10%;-70%;-21%;1.447475833;5;3%;1;-39%;0;-41%;0;-15%;0;-460%;0;5%;1;-20%;0;21%;1;-4%;0;4%;7%;10%;4%;2%;4%;33%;2%;2%;2%;1%;86%;1%;98%;21%;4%;Stability;6%;3;33%;20%
RGTI;4019522048;13.845;14.8;0.06897797;USD;-73557000;3823156224;-2%;-53%;-63%;-85%;-10%;5.96436424;4;-71%;0;-22%;0;49%;1;;0;1372%;1;-24%;0;16%;1;-24%;0;-4%;0;10%;1%;1%;4%;7%;19%;1%;5%;100%;;100%;1%;98%;1%;23%;19%;Stability;6%;3;33%;20%
KOD;179659712;3.405;6.8;0.997063142;USD;-199867000;115362368;-173%;-47%;-58%;-242%;;;5;-53%;0;-35%;0;17%;1;;0;-21%;0;2%;1;6%;1;;0;0%;0;1%;1%;2%;1%;;;1%;3%;95%;;25%;71%;91%;;41%;;Neither;2%;3;33%;17%
BA;1.52E+11;201.47;208.86073;0.036684022;USD;-10210000000;1.86E+11;-6%;-4%;-13%;-8%;;0.798816874;4;-8%;0;-9%;0;-2%;0;1%;1;18%;1;-6%;0;-12%;0;-13%;0;-14%;0;7%;12%;9%;12%;;3%;8%;7%;30%;60%;85%;10%;3%;2%;4%;3%;Stability;9%;2;22%;16%
BITF;585423296;1.04;3.25;2.125;USD;-100436000;593140416;-17%;-24%;-10%;-181%;;0.270157125;5;-8%;0;-72%;0;-64%;0;;0;401%;1;21%;1;-25%;0;-2%;0;-10%;0;2%;3%;10%;2%;;2%;8%;1%;1%;;100%;98%;1%;16%;10%;2%;Stability;4%;2;22%;13%
SPCE;149877152;3.605;8.10714;1.248859917;USD;-353919000;156260432;-226%;-39%;-57%;-166%;;-0.714015423;5;-36%;0;-49%;0;-13%;0;-8%;0;-94%;0;7%;1;-8%;0;-536%;0;0%;1;1%;2%;3%;2%;;1%;3%;2%;5%;6%;6%;90%;5%;1%;46%;1%;Stability;2%;2;22%;12%
NG;1434452608;3.565;5.020473;0.408267321;USD;-23818000;1267727616;-2%;-33%;-17%;-39%;;;5;-42%;0;-12%;0;30%;1;-35%;0;-966%;0;-6%;0;-6%;0;;0;0%;0;10%;3%;6%;5%;;;2%;6%;98%;1%;0%;9%;7%;;41%;;Neither;5%;1;11%;8%
