Year-Month,SPY Monthly Max Drawdown,VXX/VIX Monthly Max Drawdown,Ultra Monthly Max Drawdown
2023-10,-0.9119781363089899,-0.9119781363089926,-0.9119781363089958
2023-11,-0.7434317876542291,-0.7434317876542362,-0.743431787654248
2023-12,-0.32757264519268225,-0.3275726451926988,-0.3275726451927302
2024-01,-0.11547644448341066,-0.11547644448342242,-0.11547644448344851
2024-02,-0.05647832764923888,-0.05647832764923877,-0.0564783276492391
2024-03,-0.07017918340504603,-0.07017918340504514,-0.07017918340504592
2024-04,-0.44003431379548763,-0.44003431379549107,-0.4400343137954863
2024-05,-0.15210462294927463,-0.15210462294927896,-0.15210462294927307
2024-06,-0.049941474893355875,-0.04994147489335721,-0.04994147489335776
2024-07,-0.29091497288217993,-0.29091497288218116,-0.2909149728821806
2024-08,-0.5003873487500767,-0.5003873487500845,-0.5003873487500816
2024-09,-0.19454342590127305,-0.19454342590127738,-0.19454342590127616
2024-10,-0.12096399836661553,-0.12096399836661587,-0.12096399836661387
2024-11,-0.1315527273723035,-0.13155272737230428,-0.1315527273723044
2024-12,-0.23570835480171248,-0.23570835480171015,-0.23570835480171137
2025-01,-0.31958816684480285,-0.3195881668448003,-0.31958816684480096
2025-02,-0.22848296721251915,-0.22848296721251726,-0.2284829672125186
2025-03,-0.7959809774874989,-0.7959809774874974,-0.7959809774874981
2025-04,-0.9376191377311156,-0.9302756468150708,-0.9321319813181687
2025-05,-0.662702707649226,-0.6804364651311605,-0.6744292967639022
2025-06,-0.2963460601937009,-0.3279186702270749,-0.3171949618442882
2025-07,-0.04599848996790079,-0.04599848996790035,-0.0459984899678999
2025-08,-0.0852338421366512,-0.0852338421366513,-0.08523384213665142
2025-09,-0.054805901786668,-0.05480590178666778,-0.054805901786668554
2025-10,-0.1359087916028986,-0.13590879160289748,-0.1359087916028966
2025-11,-0.3153602234709001,-0.3153602234709001,-0.3153602234709023
