,skewness,rank,demeaned_rank,weight
ASTS,0.49438472748024376,100.0,-63.0,-0.004771642808452625
TCOM,0.5065523917129066,99.0,-64.0,-0.004847383170491555
HOG,0.5438591071714166,98.0,-65.0,-0.004923123532530486
JD,0.5465106773619721,97.0,-66.0,-0.004998863894569416
NIO,0.5494720439205085,96.0,-67.0,-0.0050746042566083465
VIG,0.5558097419500516,95.0,-68.0,-0.005150344618647277
IJH,0.5567756709057452,94.0,-69.0,-0.005226084980686208
PLTR,0.5604892986698984,93.0,-70.0,-0.005301825342725139
EBAY,0.5733562724953958,92.0,-71.0,-0.005377565704764069
BKNG,0.5769065222132653,91.0,-72.0,-0.0054533060668029995
UPST,0.5781506518771945,90.0,-73.0,-0.00552904642884193
OKLO,0.5825039421862914,89.0,-74.0,-0.00560478679088086
NKE,0.5884599677879228,88.0,-75.0,-0.005680527152919791
ASML,0.5940584035431182,87.0,-76.0,-0.005756267514958722
PAGS,0.5983155432653643,86.0,-77.0,-0.005832007876997653
AXP,0.6091184599046009,85.0,-78.0,-0.005907748239036583
XLC,0.6147929302048035,84.0,-79.0,-0.0059834886010755135
XPEV,0.616182608117634,83.0,-80.0,-0.006059228963114444
XLI,0.6237099002478309,82.0,-81.0,-0.006134969325153374
GT,0.6266807348498077,81.0,-82.0,-0.006210709687192305
PKX,0.6292414821055332,80.0,-83.0,-0.006286450049231235
GILD,0.6301881906849736,79.0,-84.0,-0.006362190411270166
CRM,0.6304428545885096,78.0,-85.0,-0.006437930773309097
HSY,0.6330946614966089,77.0,-86.0,-0.0065136711353480274
F,0.6341336742966589,76.0,-87.0,-0.006589411497386958
GM,0.6458156460820808,75.0,-88.0,-0.006665151859425888
WMT,0.6506598757228818,74.0,-89.0,-0.006740892221464819
PCAR,0.6512104414580037,73.0,-90.0,-0.006816632583503749
SE,0.6546984152660785,72.0,-91.0,-0.00689237294554268
META,0.6617362104983576,71.0,-92.0,-0.006968113307581611
XLB,0.6685418539631096,70.0,-93.0,-0.007043853669620541
RKLB,0.6823233912864887,69.0,-94.0,-0.007119594031659472
PATH,0.6923912104146375,68.0,-95.0,-0.007195334393698402
LVS,0.6960160185441807,67.0,-96.0,-0.007271074755737333
STLA,0.6983357530526253,66.0,-97.0,-0.007346815117776263
DIS,0.7404062909827197,65.0,-98.0,-0.007422555479815194
FSLR,0.7675298804808814,64.0,-99.0,-0.007498295841854124
CX,0.7716785652117477,63.0,-100.0,-0.0075740362038930545
CAT,0.7727496162746555,62.0,-101.0,-0.007649776565931986
TEM,0.7883807197919144,61.0,-102.0,-0.007725516927970916
VIST,0.8412876416255441,60.0,-103.0,-0.007801257290009847
ASR,0.8510346695946535,59.0,-104.0,-0.007876997652048776
SHOP,0.854557284237109,58.0,-105.0,-0.007952738014087708
ACWI,0.8823012986040217,57.0,-106.0,-0.008028478376126639
RGTI,0.913358144350115,56.0,-107.0,-0.008104218738165568
ERJ,0.9151529167414826,55.0,-108.0,-0.0081799591002045
IVW,0.9226273274320788,54.0,-109.0,-0.00825569946224343
